9.55259,61.79419,"RM Gass","Ulvollsvegen 3 2670   - myLPG.eu"
11.2155284881592,61.695484161377,"LPG Norge Rendalen","Ĺkrestrřmmen   - myLPG.eu"
11.20837,61.69482,"LPG Norge","Akrestrommen 2485  Akrestrommen - myLPG.eu"
9.73366,61.59464,"RM Gass","Støperivegen 144 2640   - myLPG.eu"
11.04629,61.5724,"RM Gass","Storgata 124 2480   - myLPG.eu"
10.12898,61.53024,"RM Gass","E6 2030 2630   - myLPG.eu"
5.8469,61.45658,GasTech,"Firdavegen 14 6800  Forde - myLPG.eu"
5.86054,61.44958,"Esso FĂrde","Hafstadvegen 52 6800 FĂrde - myLPG.eu"
12.139796257019,61.4202919006348,"LPG Norge Trysil","Gammelveien 25   - myLPG.eu"
12.13938,61.41934,"LPG Norge","Gammelvegen 25 2430  Trysil - myLPG.eu"
5.402,61.36401,"Dale Servicesenter","Rv57 6963 Dale i Sunnfjord - myLPG.eu"
7.1187,61.23252,"Bil GasTech","Rv55  6856   - myLPG.eu"
6.08147,61.22126,"Per a Oren","Holmegata 4 6993   - myLPG.eu"
5.82659,61.20879,"Vadheim Bensin og Service as","Rv55 6996 Vadheim - myLPG.eu"
8.23308,61.20284,Joker,"Rv53 250 2985   - myLPG.eu"
10.45259,61.12827,Shell,"Gudbrandsdalsvegen 190 2619  Lillehammer - myLPG.eu"
7.47422,61.09774,"Arild FossĂy","Ăyragata 1 6887 LĂ?rdal - myLPG.eu"
9.05378,61.03204,LPG,"Fv261 620 2960   - myLPG.eu"
9.24507,60.98491,Shell,"Oslovegen  2900   - myLPG.eu"
9.3338995,60.952755,"LPG Norge Valdres","Kalplassen   - myLPG.eu"
10.84261,60.89066,"RM Gass","Ringsakervegen 631 2380   - myLPG.eu"
11.52253,60.88449,"Elverum Gass","Hamarvegen 260 2411  Elverum - myLPG.eu"
11.54023,60.8828,"Esso BasthjĂrnet","Trondheimsv 1 2406 Elverum - myLPG.eu"
10.05289745,60.8330269,"LPG Dokka","Rosteinveien 5   Dokka - myLPG.eu"
11.149,60.80609,Shell,"Kappvegen 1 2322  Ridabu - myLPG.eu"
11.05009,60.79829,"Esso Storhamar","Aslak Boltsgate 41 2316 Hamar - myLPG.eu"
10.66687,60.78528,"RM Gass","Kallerudsvingen 5-9 2816  Gjovik - myLPG.eu"
8.98715,60.70215,Shell,"Heradvegen 7 3550   - myLPG.eu"
8.96332,60.7015,"LPG Norge","Sentrumsvegen 24a 3550  Hallingdal - myLPG.eu"
8.96435832977295,60.7014350891113,"LPG Norge Hallingdal","Sentrumsveien 24a   - myLPG.eu"
10.81282,60.67335,"Lena Bil og Bensin as","Lena 2850 Lena - myLPG.eu"
6.46106,60.63451,"LPG Norge Voss","Brynalii 103   - myLPG.eu"
6.460589,60.634275,"VOSS GASS A/S","BRYNALI 103 5700 VOSS - myLPG.eu"
6.43368,60.62903,"Hmv Servicestasjon as","Hardangervegen 23 5705 Voss - myLPG.eu"
6.41194,60.62868,"Tiger Vossevangen Veiservice","Evangerv 4 5700 Voss - myLPG.eu"
12.01083,60.61444,"LPG Norge Flisa","Kaptein Dreyers veg 9   - myLPG.eu"
9.10279,60.56782,"Esso Express Nesbyen","Rukkedalsvegen 47 3540 Nesbyen - myLPG.eu"
5.22812,60.51477,"Esso Frekhaug","MjĂ?tveitflaten 1 5918 Frekhaug - myLPG.eu"
5.34488,60.51105,Bonngass,"Hylkjeflaten 16 5109  Bergen - myLPG.eu"
5.33703,60.47429,"Tiger Nyborg Veiservice","Ă?samyrene 275 5131 Nyborg - myLPG.eu"
11.61094,60.43219,"Berg Service Senter","Movegen 770 2133   - myLPG.eu"
11.06614,60.41438,"Esso Hurdal","Strandveien 3-5 2090 Hurdal - myLPG.eu"
5.22484,60.40765,"Birger Haugland KleppestĂ","Klampavikveien 4 5321 KleppestĂ - myLPG.eu"
5.00187,60.40499,"Ågotnes Bensin og Storkiosk Esso","Bleivassvegen 2 5346 Ågotnes - myLPG.eu"
5.3031,60.38413,"Esso LaksevĂ?g","Carl Konowsgt. 3 5161 LaksevĂ?g - myLPG.eu"
6.19794,60.38127,"Ford Ăystese Mek Verk Eom","Postboks 93 5604 Ăystese - myLPG.eu"
6.71468,60.37427,"Halldor Utne as","Postboks 37 5782 Kinsarvik - myLPG.eu"
6.14377,60.37239,"Tiger Norheimsund Veiservice","Gamle Sandvenvn. 8 5600 Norheimsund - myLPG.eu"
5.34076,60.37118,"Esso Kanalveien","Kanalveien 1 5059 Bergen - myLPG.eu"
5.23478,60.36114,"Tiger Vestkanten Veiservice","Postboks 63 5881 Bergen - myLPG.eu"
5.12722,60.35972,"Alliansen Norge","Grønamyrvegen 2850 5353   - myLPG.eu"
5.35052,60.3209,Shell,"Nesttunvegen 87 5221  Bergen - myLPG.eu"
5.2354,60.2926,Statoil,"Flyplassvegen 425 5258  Bergen - myLPG.eu"
10.62818,60.28723,Shell,"Fv16 2099 2740   - myLPG.eu"
10.186465,60.273642,"LPG Asliveien","  Hallingby - myLPG.eu"
8.94341,60.26682,"Nore Auto","Sentrum 34 3630   - myLPG.eu"
11.18689,60.25151,"LPG Norge Eidsvoll","Vognveien 17   - myLPG.eu"
11.9682,60.20786,"Bil & Hus","Industrivegen 55 2212  Kongsvinger - myLPG.eu"
10.22816,60.19827,Ringeriksgass,"Follummoveien 24 3516   - myLPG.eu"
5.46697,60.18727,Best,"Byvegen 30 5200   - myLPG.eu"
11.08165,60.1794,Statoil,"Edvard Griegs veg 116 2060   - myLPG.eu"
11.15626,60.16598,"Esso Gardemoen","Gardermoen NĂ?ringspark 2050 Jessheim - myLPG.eu"
11.18577,60.14715,"LPG Norge Jessheim","Brannmannsveien 4   - myLPG.eu"
11.17049,60.14696,"Tiger Ringveien Veiservice","Ringveien 38 2050 Jessheim - myLPG.eu"
11.46283,60.12007,Smartas,"Nedre Hagaveg 15B 2150   - myLPG.eu"
11.15237,60.0791,Shell,"E6 330 2040   - myLPG.eu"
6.55077,60.06959,"Esso Odda","Tyssedalsveien 9 5750 Odda - myLPG.eu"
12.12622,59.98587,"Esso Skotterud","Grenseveien 2 2230 Skotterud - myLPG.eu"
